strategy,pattern,severity,impact_score,loop_depth,is_inside_loop,relative_line_position,execution_count_at_line,avg_time_ms_at_line,line_dominance,function_call_count,max_recursion_depth,complexity_ordinal,pattern_frequency,severity_encoded,pat_constant_folding,pat_dead_code,pat_hot_loop,pat_loop_invariant,pat_nested_loops,pat_repeated_computation,pat_unused_vars
restructure_loop,unused_vars,low,3.0,0,0,0.5,1,0.001,0.047619,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,constant_folding,low,2.0,0,0,0.9375,1,0.002,0.047619,0,0,3,0.11368015414258188,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
restructure_loop,nested_loops,low,6.0,2,1,0.7727,0,0.0,0.0,0,0,5,0.11946050096339114,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
restructure_loop,unused_vars,low,3.0,0,0,0.5455,1,0.0,0.021277,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.5,1,0.001,0.021277,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,constant_folding,low,2.0,0,0,0.3636,1,0.003,0.021277,0,0,5,0.11368015414258188,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
restructure_loop,unused_vars,low,3.0,0,0,0.2941,1,0.001,0.004785,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.3529,1,0.001,0.004785,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.4118,1,0.001,0.004785,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.4706,1,0.001,0.004785,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.5294,1,0.001,0.004785,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.2273,1,0.001,0.058824,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.2727,1,0.001,0.058824,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.3182,1,0.001,0.058824,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.3636,1,0.001,0.058824,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.4091,1,0.0,0.058824,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.1923,1,0.001,0.011905,7,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.2308,1,0.001,0.011905,7,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.2692,1,0.001,0.011905,7,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.3077,1,0.001,0.011905,7,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.3462,1,0.0,0.011905,7,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.4286,1,0.001,0.016393,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.2381,1,0.001,0.016393,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.381,1,0.001,0.016393,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,nested_loops,low,6.0,2,1,0.8148,0,0.0,0.0,0,0,5,0.11946050096339114,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mixed,unused_vars,low,3.0,0,0,0.6296,1,0.0,0.011494,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,unused_vars,low,3.0,0,0,0.5926,1,0.001,0.011494,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mixed,repeated_computation,medium,8.0,1,1,0.7727,9,0.001,0.09,3,0,5,0.01348747591522158,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
mixed,nested_loops,low,6.0,2,1,0.3636,0,0.0,0.0,3,0,5,0.11946050096339114,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mixed,nested_loops,low,6.0,2,1,0.6364,0,0.0,0.0,3,0,5,0.11946050096339114,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mixed,repeated_computation,medium,8.0,1,1,0.8387,9,0.001,0.086538,3,0,5,0.01348747591522158,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
