execution_id,family,strategy,pattern,severity,impact_score,loop_depth,is_inside_loop,relative_line_position,co_occurring_patterns,execution_count_at_line,avg_time_ms_at_line,total_time_ms_at_line,line_dominance,function_call_count,max_recursion_depth,source_lines,complexity_class,complexity_ordinal,execution_time_ms,peak_memory_bytes,total_suggestions
0d561f47-0bb3-47b7-9b4d-b0cf4deed65e,loops,restructure_loop,unused_vars,low,3.0,0,False,0.6552,nested_loops|unused_vars,1,0.0,0.0,0.022727,0,0,29,O(n²),5,0.316,3891,3
0d561f47-0bb3-47b7-9b4d-b0cf4deed65e,loops,restructure_loop,unused_vars,low,3.0,0,False,0.6207,nested_loops|unused_vars,1,0.001,0.001,0.022727,0,0,29,O(n²),5,0.316,3891,3
9417e05c-50c4-4b0f-8293-a5e5d4ec2bf2,loops,restructure_loop,unused_vars,low,3.0,0,False,0.4091,unused_vars,1,0.001,0.001,0.011628,0,0,22,O(n),3,0.426,3561,5
9417e05c-50c4-4b0f-8293-a5e5d4ec2bf2,loops,restructure_loop,unused_vars,low,3.0,0,False,0.3182,unused_vars,1,0.001,0.001,0.011628,0,0,22,O(n),3,0.426,3561,5
9417e05c-50c4-4b0f-8293-a5e5d4ec2bf2,loops,restructure_loop,unused_vars,low,3.0,0,False,0.2727,unused_vars,1,0.001,0.001,0.011628,0,0,22,O(n),3,0.426,3561,5
9417e05c-50c4-4b0f-8293-a5e5d4ec2bf2,loops,restructure_loop,unused_vars,low,3.0,0,False,0.2273,unused_vars,1,0.001,0.001,0.011628,0,0,22,O(n),3,0.426,3561,5
9417e05c-50c4-4b0f-8293-a5e5d4ec2bf2,loops,restructure_loop,unused_vars,low,3.0,0,False,0.3636,unused_vars,1,0.001,0.001,0.011628,0,0,22,O(n),3,0.426,3561,5
7201411e-7627-4417-b4d1-1620a984013d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.7308,unused_vars,1,0.0,0.0,0.010101,0,0,26,O(n^k),5,0.42,3943,3
7201411e-7627-4417-b4d1-1620a984013d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.6923,unused_vars,1,0.0,0.0,0.010101,0,0,26,O(n^k),5,0.42,3943,3
7201411e-7627-4417-b4d1-1620a984013d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.6538,unused_vars,1,0.001,0.001,0.010101,0,0,26,O(n^k),5,0.42,3943,3
2e0aa5a6-e149-4401-8106-9f4993f19a85,loops,restructure_loop,unused_vars,low,3.0,0,False,0.6,unused_vars,1,0.001,0.001,0.037037,0,0,15,O(n),3,0.152,3355,3
2e0aa5a6-e149-4401-8106-9f4993f19a85,loops,restructure_loop,unused_vars,low,3.0,0,False,0.3333,unused_vars,1,0.001,0.001,0.037037,0,0,15,O(n),3,0.152,3355,3
2e0aa5a6-e149-4401-8106-9f4993f19a85,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5333,unused_vars,1,0.001,0.001,0.037037,0,0,15,O(n),3,0.152,3355,3
e99a09cd-c799-4834-b808-6b10df0ab647,loops,restructure_loop,nested_loops,low,6.0,2,True,0.7619,nested_loops|unused_vars,0,0.0,0.0,0.0,0,0,21,O(n³),6,0.301,3547,3
e99a09cd-c799-4834-b808-6b10df0ab647,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5238,nested_loops|unused_vars,1,0.0,0.0,0.018868,0,0,21,O(n³),6,0.301,3547,3
e99a09cd-c799-4834-b808-6b10df0ab647,loops,restructure_loop,unused_vars,low,3.0,0,False,0.4762,nested_loops|unused_vars,1,0.0,0.0,0.018868,0,0,21,O(n³),6,0.301,3547,3
